IP,Blokkert_tid,Kilde,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,Land,ISP
101.13.5.50,2026-07-03T05:49:55.416005,auto,15,5,N/A,N/A,TW,Unknown
106.251.244.178,2026-07-03T05:49:55.416030,auto,6,7,N/A,N/A,KR,Unknown
1.20.228.110,2026-07-03T05:49:55.416037,auto,14,3,N/A,N/A,TH,Unknown
193.26.115.137,2026-07-03T05:49:55.416043,auto,4,3,N/A,N/A,US,Unknown
101.126.17.72,2026-07-03T05:49:55.416049,auto,15,4,N/A,N/A,CN,Unknown
66.155.223.226,2026-07-03T05:49:55.416056,auto,6,2,N/A,N/A,US,Unknown
101.126.54.95,2026-07-03T05:49:55.416061,auto,9,5,N/A,N/A,CN,Unknown
20.255.61.0,2026-07-03T05:49:55.416064,auto,4,2,N/A,N/A,HK,Unknown
101.227.79.195,2026-07-03T05:49:55.416069,auto,11,2,N/A,N/A,CN,Unknown
85.217.149.58,2026-07-03T05:49:55.416075,auto,10,3,N/A,N/A,CA,Unknown
101.126.11.137,2026-07-03T05:49:55.416081,auto,10,4,N/A,N/A,CN,Unknown
1.83.125.204,2026-07-03T05:49:55.416088,auto,5,6,N/A,N/A,CN,Unknown
101.13.4.128,2026-07-03T05:49:55.416094,auto,14,4,N/A,N/A,TW,Unknown
45.82.76.104,2026-07-03T05:49:55.416099,auto,7,4,N/A,N/A,DE,Unknown
47.84.204.63,2026-07-03T05:49:55.416105,auto,9,4,N/A,N/A,SG,Unknown
1.222.42.237,2026-07-03T05:49:55.416109,auto,10,4,N/A,N/A,KR,Unknown
154.64.241.188,2026-07-03T05:49:55.416114,auto,2,2,100,69,US,"PSINet, Inc."
1.214.214.114,2026-07-03T05:49:55.416122,auto,12,5,N/A,N/A,KR,Unknown
148.170.129.144,2026-07-03T05:49:55.416128,auto,11,2,N/A,N/A,CA,Unknown
152.32.233.2,2026-07-03T05:49:55.416134,auto,6,6,N/A,N/A,US,Unknown
101.132.144.220,2026-07-03T05:49:55.416138,auto,6,4,N/A,N/A,CN,Unknown
60.53.155.135,2026-07-03T05:49:55.416142,auto,2,3,100,62,MY,TMNST
47.89.187.129,2026-07-03T05:49:55.416148,auto,3,3,N/A,N/A,US,Unknown
139.59.146.150,2026-07-03T05:49:55.416151,auto,9,3,N/A,N/A,DE,Unknown
165.232.143.119,2026-07-03T05:49:55.416157,auto,6,2,N/A,N/A,US,Unknown
101.32.145.199,2026-07-03T05:49:55.416163,auto,8,5,N/A,N/A,SG,Unknown
177.76.134.52,2026-07-03T05:49:55.416168,auto,9,2,N/A,N/A,BR,Unknown
101.126.89.0,2026-07-03T05:49:55.416172,auto,10,5,N/A,N/A,CN,Unknown
101.24.126.14,2026-07-03T05:49:55.416177,auto,4,3,N/A,N/A,CN,Unknown
1.250.67.190,2026-07-03T05:49:55.416181,auto,10,4,N/A,N/A,KR,Unknown
24.144.84.83,2026-07-03T05:49:55.416185,auto,9,3,N/A,N/A,US,Unknown
50.6.248.168,2026-07-03T05:49:55.416189,auto,13,3,N/A,N/A,US,Unknown
176.65.148.132,2026-07-03T05:49:55.416194,auto,11,2,N/A,N/A,NL,Unknown
101.36.109.176,2026-07-03T05:49:55.416198,auto,10,5,N/A,N/A,HK,Unknown
45.148.10.151,2026-07-03T05:49:55.416203,auto,13,3,N/A,N/A,NL,Unknown
100.55.60.114,2026-07-03T05:49:55.416206,auto,0,0,16,2,US,Amazon Data Services Northern Virginia
101.126.89.35,2026-07-03T05:49:55.416213,auto,10,4,N/A,N/A,CN,Unknown
1.85.42.195,2026-07-03T05:49:55.416216,auto,9,5,N/A,N/A,CN,Unknown
147.148.205.252,2026-07-03T05:49:55.416221,auto,10,5,N/A,N/A,GB,Unknown
180.76.236.214,2026-07-03T05:49:55.416225,auto,11,4,N/A,N/A,CN,Unknown
101.13.5.33,2026-07-03T05:49:55.416229,auto,13,3,N/A,N/A,TW,Unknown
192.169.234.117,2026-07-03T05:49:55.416233,auto,11,3,N/A,N/A,US,Unknown
101.32.33.214,2026-07-03T05:49:55.416237,auto,3,1,N/A,N/A,HK,Unknown
101.126.81.18,2026-07-03T05:49:55.416241,auto,11,6,N/A,N/A,CN,Unknown
45.227.254.170,2026-07-03T05:49:55.416245,auto,11,4,N/A,N/A,PA,Unknown
101.126.35.9,2026-07-03T05:49:55.416249,auto,7,6,N/A,N/A,CN,Unknown
122.168.123.73,2026-07-03T05:49:55.416252,auto,15,3,N/A,N/A,IN,Unknown
101.13.5.63,2026-07-03T05:49:55.416256,auto,13,3,N/A,N/A,TW,Unknown
101.36.107.233,2026-07-03T05:49:55.416260,auto,10,4,N/A,N/A,HK,Unknown
101.126.82.218,2026-07-03T05:49:55.416265,auto,10,6,N/A,N/A,CN,Unknown
222.97.112.179,2026-07-03T05:49:55.416268,auto,4,3,N/A,N/A,KR,Unknown
1.180.246.242,2026-07-03T05:49:55.416273,auto,3,2,N/A,N/A,CN,Unknown
